,instance,hate_count,url_count,mentions_count,hashtag_count,hate_avg,url_avg,mentions_avg,hashtag_avg,users,posts,nsfw,media_removal,fed_time_rem,reject,quaran_inst,accept,avatar,banner,followers_only,report,reject_deletes,hate_perc,url_perc,mentions_perc,hash_perc,followers_count,following_count,reblogs_count,replies_count,active_halfyear,active_month,hash_ftr,hash_rej,hash_sen,users_tr,posts_tr,hate_tr,url_tr,blocked
78,connect.otherbyte.com,1376.0,163.0,1170.0,237.0,1.1740614334470991,0.1390784982935153,0.9991460290350128,0.2023911187019641,7.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2192832764505119,0.0597269624573378,0.3229522184300341,0.0550341296928327,779,931,2,9,0.0,0.0,0.0,0.0,0.0,1.3830875542684884,2.1129943434814344,3.3350555517176126,2.3372110669088912,0
79,contrapointsfan.club,150264.0,9696.0,183063.0,20644.0,1.1744605019422711,0.0757837474500363,1.4308280314517516,0.1613543636960497,6.0,81273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022150488889584,0.0343004306605285,0.2794916486247782,0.0363364935948039,17856,12782,28,74,0.0,0.0,0.0,0.0,1.0,1.3480061545972777,6.581492365197215,7.291370344993216,4.617767907242343,1
80,corginet.duckdns.org,563.0,97.0,303.0,240.0,0.6607981220657277,0.1138497652582159,0.3560517038777908,0.2820211515863689,12.0,1803.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0557511737089201,0.1461267605633802,0.0498826291079812,1700,1461,9,2,1.0,1.0,0.0,0.0,0.0,1.5130857494229015,3.488718710700378,2.873545418107677,2.143525342095829,0
81,cosine.online,11782.0,1046.0,3019.0,884.0,1.6719171278558251,0.1484319568610756,0.4284700539313085,0.1254612546125461,3.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2610330637150561,0.0605222080317865,0.1959699162764296,0.0350503760465446,674,310,2,7,0.0,0.0,0.0,0.0,0.0,1.2009369551760027,1.906368585993873,4.770199066334406,3.186069761259235,0
82,counter.fedi.live,8794.0,4957.0,3876.0,4680.0,1.2000545851528384,0.6764465065502183,0.5290023201856149,0.6387334516173059,60.0,29880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1883870087336244,0.160207423580786,0.1556359170305676,0.1340747816593886,439071,24874,12,17,0.0,0.0,0.0,0.0,1.0,1.9786024464679264,5.57053318184358,4.543226723373505,4.129237091644837,1
83,cowfee.moe,18860.0,763.0,26221.0,1365.0,1.3923957179771134,0.0563307493540051,1.9359864146485528,0.1007826343768458,2.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.2309339239571797,0.0235880398671096,0.3423403469915098,0.0287559985234403,3982,3073,5,25,0.0,0.0,0.0,0.0,1.0,1.122462048309373,1.6983813295649528,5.15929405642964,3.022878949663865,0
84,crowsnest.libre.audio,2524.0,231.0,802.0,240.0,2.065466448445172,0.1890343698854337,0.6568386568386568,0.1965601965601965,3.0,3779.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2900981996726677,0.0752864157119476,0.248772504091653,0.0548281505728314,8334,3204,4,10,0.0,0.0,0.0,0.0,0.0,1.2009369551760027,3.946657891015101,3.689902508625995,2.4770531765914834,0
85,crowsocial.us.to,1281.0,106.0,648.0,109.0,1.484356894553882,0.1228273464658169,0.7517401392111369,0.1264501160092807,4.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2363847045191193,0.0544611819235226,0.2844727694090382,0.030127462340672,467214,1384,2,0,0.0,0.0,0.0,0.0,1.0,1.2599210498948732,2.5973056638958427,3.295526854497891,2.1754593747444164,0
86,crucible.world,174277.0,9426.0,104146.0,6380.0,2.1747653988220037,0.1176250374363582,1.2996318712173207,0.0796156485929993,2.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2823574922631526,0.0546508435659379,0.2765860537086952,0.0253069781371668,9196,4471,6,1,0.0,0.0,0.0,0.0,1.0,1.122462048309373,1.984060781100764,7.473774886540533,4.596083454592178,0
87,crux.social,2.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1.2599210498948732,1.4677992676220697,1.122462048309373,1.0,0
88,crypt.lol,37894.0,6206.0,22918.0,9519.0,1.6691186186847553,0.2733559441483505,1.009514580213197,0.4193022641176989,153.0,1858.0,1.0,6.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2636215478130643,0.1215698365854732,0.2503413645773686,0.077060300400828,445410,24540,6,37,0.0,0.0,0.0,0.0,0.0,2.3126783696051127,3.506234442593221,5.795555580185931,4.286820463708868,0
89,csdisaster.club,159769.0,11435.0,100554.0,11391.0,1.2235709471878446,0.0875735204019115,0.7700861573808157,0.0872372199885123,7.0,9216.0,4.0,0.0,27.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216153810807499,0.0406583139321161,0.2709418269819875,0.0220025119470653,466152,12808,18,75,0.0,0.0,0.0,0.0,0.0,1.3830875542684884,4.578856970213328,7.3662889896457795,4.746491361708996,1
90,curenoize.org,4526.0,5408.0,6979.0,7654.0,0.0893865781885689,0.1068057036773709,0.1378350087887346,0.1511662354590879,1.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211320456610182,0.0512995220602757,0.0625370304538452,0.0415926057589761,383455,9600,13,10,0.0,0.0,0.0,0.0,0.0,1.0,3.318698071951516,4.067108498597711,4.189602118418676,0
91,cute.science,44642.0,2531.0,17282.0,2890.0,1.4667980942993264,0.0831608345654673,0.5678517447591509,0.0949595846750345,20.0,3200.0,1.0,0.0,10.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2422211269919501,0.0365040249712502,0.2345326104813537,0.0242812551338919,41997,27383,34,36,0.0,0.0,0.0,0.0,0.0,1.6475489724420656,3.8387662073329687,5.9560354482206215,3.691606121963424,0
